#,Name,NameYear,Season,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating
1.0, Antoine Winfield, Antoine Winfield2008,2008.0,MIN,CB,997.0,30.0,2.2,12.6,10.8,4.4,0-0,2.0,0.0,1.0,67.0,8.0,4.0,39.0,81.0,43.0,53.1,444.0,10.3,170.0,65.0,2.0,2.0,6.0,67.1
2.0, Corey Webster, Corey Webster2008,2008.0,NYG,CB,946.0,29.0,0.9,25.4,-0.1,2.8,41334.0,1.0,1.0,0.0,46.0,1.0,8.0,15.0,67.0,27.0,40.3,309.0,11.4,89.0,32.0,1.0,3.0,21.0,41.2
3.0, Darrelle Revis, Darrelle Revis2008,2008.0,NYJ,CB,1070.0,21.3,0.3,15.3,2.8,2.9,41306.0,1.0,0.0,0.0,47.0,7.0,3.0,17.0,84.0,49.0,58.3,510.0,10.4,204.0,37.0,2.0,5.0,8.0,59.1
4.0, Chris Gamble, Chris Gamble2008,2008.0,CAR,CB,1064.0,18.9,1.1,12.0,1.9,3.9,36526.0,0.0,1.0,2.0,79.0,6.0,9.0,27.0,124.0,70.0,56.5,806.0,11.5,253.0,46.0,3.0,3.0,13.0,74.2
5.0, Nick Harper, Nick Harper2008,2008.0,TEN,CB,770.0,15.3,-0.5,10.3,3.5,2.0,36557.0,0.0,0.0,0.0,68.0,1.0,4.0,28.0,104.0,55.0,52.9,568.0,10.3,171.0,31.0,2.0,2.0,10.0,67.3
6.0, Champ Bailey, Champ Bailey2008,2008.0,DEN,CB,517.0,12.9,1.8,4.6,4.3,2.2,0-0,1.0,1.0,1.0,38.0,7.0,1.0,15.0,20.0,14.0,70.0,203.0,14.5,76.0,48.0,1.0,1.0,3.0,98.5
7.0, Bryant McFadden, Bryant McFadden2008,2008.0,PIT,CB,475.0,12.7,0.7,7.8,2.0,2.2,36526.0,1.0,1.0,0.0,39.0,1.0,1.0,17.0,48.0,32.0,66.7,277.0,8.7,55.0,19.0,1.0,2.0,4.0,71.3
8.0, Eric Wright, Eric Wright2008,2008.0,CLV,CB,1052.0,11.8,1.1,0.7,7.3,2.7,41306.0,0.0,0.0,2.0,63.0,5.0,5.0,21.0,86.0,56.0,65.1,677.0,12.1,173.0,28.0,6.0,3.0,9.0,97.9
9.0, William Gay, William Gay2008,2008.0,PIT,CB,472.0,11.2,-0.2,7.0,2.3,2.1,0-0,0.0,0.0,3.0,27.0,2.0,2.0,12.0,52.0,23.0,44.2,173.0,7.5,51.0,30.0,0.0,1.0,4.0,44.8
10.0, Will D. Allen, Will D. Allen2008,2008.0,MIA,CB,1047.0,10.5,2.6,6.3,-1.0,2.6,36557.0,1.0,4.0,1.0,44.0,2.0,8.0,12.0,95.0,52.0,54.7,727.0,14.0,342.0,75.0,2.0,3.0,12.0,73.4
11.0, Sheldon Brown, Sheldon Brown2008,2008.0,PHI,CB,969.0,10.4,-1.1,10.2,-1.0,2.3,36586.0,1.0,1.0,2.0,41.0,1.0,2.0,16.0,69.0,30.0,43.5,359.0,12.0,146.0,28.0,0.0,1.0,11.0,54.0
12.0, Asante Samuel, Asante Samuel2008,2008.0,PHI,CB,894.0,9.9,0.1,7.0,1.7,1.1,36586.0,0.0,0.0,1.0,34.0,6.0,7.0,5.0,83.0,44.0,53.0,561.0,12.8,212.0,55.0,3.0,4.0,15.0,66.4
13.0, Jabari Greer, Jabari Greer2008,2008.0,BUF,CB,550.0,9.3,-0.1,6.0,2.0,1.4,36526.0,0.0,0.0,0.0,33.0,2.0,3.0,11.0,52.0,31.0,59.6,301.0,9.7,97.0,23.0,2.0,2.0,5.0,72.7
14.0, Andre' Goodman, Andre' Goodman2008,2008.0,MIA,CB,1024.0,8.9,-0.1,8.5,0.9,-0.4,41395.0,0.0,0.0,0.0,32.0,3.0,4.0,8.0,91.0,46.0,50.5,630.0,13.7,189.0,56.0,2.0,5.0,13.0,57.5
15.0, Cortland Finnegan, Cortland Finnegan2008,2008.0,TEN,CB,1010.0,8.7,1.3,12.9,-2.1,-3.4,41487.0,1.0,0.0,1.0,55.0,7.0,8.0,16.0,79.0,47.0,59.5,599.0,12.7,260.0,52.0,0.0,5.0,10.0,56.9
15.0, Nnamdi Asomugha, Nnamdi Asomugha2008,2008.0,OAK,CB,974.0,8.7,-0.4,14.2,-2.5,-2.6,41488.0,0.0,0.0,0.0,35.0,3.0,7.0,15.0,30.0,16.0,53.3,161.0,10.1,20.0,46.0,0.0,1.0,6.0,55.0
17.0, Charles Woodson, Charles Woodson2008,2008.0,GB,CB,857.0,8.4,2.1,12.7,-6.2,-0.2,41365.0,2.0,0.0,1.0,36.0,5.0,6.0,10.0,65.0,29.0,44.6,397.0,13.7,216.0,70.0,2.0,7.0,6.0,35.4
18.0, Ike Taylor, Ike Taylor2008,2008.0,PIT,CB,1000.0,7.8,-0.4,4.6,3.0,0.6,36617.0,0.0,0.0,1.0,53.0,5.0,6.0,12.0,99.0,57.0,57.6,677.0,11.9,222.0,65.0,2.0,1.0,12.0,81.1
19.0, Domonique Foxworth, Domonique Foxworth2008,2008.0,ATL,CB,649.0,7.4,0.0,5.1,0.4,1.9,36526.0,0.0,0.0,0.0,35.0,0.0,1.0,10.0,66.0,35.0,53.0,450.0,12.9,119.0,36.0,3.0,1.0,7.0,83.5
20.0, Fabian Washington, Fabian Washington2008,2008.0,BLT,CB,678.0,7.0,0.0,4.6,-0.7,3.1,0-0,0.0,0.0,0.0,27.0,1.0,10.0,5.0,73.0,33.0,45.2,514.0,15.6,203.0,60.0,2.0,1.0,10.0,72.5
21.0, Ken Lucas, Ken Lucas2008,2008.0,CAR,CB,1050.0,6.8,-0.2,3.4,0.3,3.3,41306.0,0.0,0.0,0.0,54.0,4.0,7.0,20.0,86.0,51.0,59.3,716.0,14.0,221.0,54.0,3.0,2.0,8.0,88.1
21.0, Terrence McGee, Terrence McGee2008,2008.0,BUF,CB,794.0,6.8,0.0,1.9,2.3,2.6,41275.0,0.0,0.0,0.0,64.0,2.0,3.0,13.0,99.0,60.0,60.6,769.0,12.8,183.0,64.0,1.0,3.0,13.0,75.7
23.0, Kelvin Hayden, Kelvin Hayden2008,2008.0,IND,CB,565.0,6.4,-0.1,8.6,-1.6,-0.5,36586.0,0.0,0.0,0.0,36.0,3.0,5.0,10.0,56.0,27.0,48.2,327.0,12.1,113.0,33.0,1.0,3.0,8.0,50.2
24.0, Cedric Griffin, Cedric Griffin2008,2008.0,MIN,CB,1012.0,6.1,1.1,-0.5,4.9,0.6,36617.0,0.0,0.0,3.0,74.0,6.0,5.0,21.0,95.0,57.0,60.0,752.0,13.2,327.0,75.0,3.0,1.0,9.0,91.2
25.0, Brandon McDonald, Brandon McDonald2008,2008.0,CLV,CB,1009.0,5.9,0.8,2.0,2.6,0.5,36617.0,0.0,1.0,1.0,64.0,5.0,9.0,22.0,100.0,63.0,63.0,845.0,13.4,265.0,93.0,6.0,5.0,11.0,89.0
26.0, Walt Harris, Walt Harris2008,2008.0,SF,CB,1027.0,5.7,1.3,5.6,-0.7,-0.5,41395.0,1.0,1.0,2.0,48.0,3.0,4.0,15.0,80.0,50.0,62.5,628.0,12.6,289.0,62.0,4.0,3.0,8.0,87.9
26.0, Chris Houston, Chris Houston2008,2008.0,ATL,CB,1023.0,5.7,0.0,8.9,-4.8,1.6,41334.0,0.0,0.0,0.0,54.0,2.0,4.0,13.0,93.0,53.0,57.0,703.0,13.3,185.0,48.0,2.0,2.0,13.0,79.3
28.0, Shawn Springs, Shawn Springs2008,2008.0,WAS,CB,447.0,5.3,-0.5,4.4,-0.7,2.1,0-0,1.0,0.0,0.0,31.0,3.0,3.0,10.0,42.0,27.0,64.3,258.0,9.6,76.0,24.0,1.0,1.0,7.0,79.3
28.0, Richard Marshall, Richard Marshall2008,2008.0,CAR,CB,539.0,5.3,3.9,1.2,0.9,-0.7,36586.0,2.0,1.0,6.0,47.0,4.0,3.0,18.0,55.0,37.0,67.3,344.0,9.3,163.0,69.0,6.0,1.0,3.0,113.0
30.0, Carlos Rogers, Carlos Rogers2008,2008.0,WAS,CB,820.0,5.2,-0.7,8.2,-2.0,-0.3,36617.0,0.0,0.0,0.0,46.0,3.0,8.0,14.0,108.0,57.0,52.8,643.0,11.3,247.0,40.0,4.0,2.0,15.0,75.5
