#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,BP,Tks,Ass,MT,St
1.0,Geno Atkins,Geno Atkins2012,2012,CIN,DT,806.0,80.0,52.1,1.0,24.7,2.2,36526.0,16.0,13.0,49.0,2.0,36.0,7.0,4.0,46.0
2.0,Gerald McCoy,Gerald McCoy2012,2012,TB,DT,968.0,31.2,19.2,1.0,10.3,0.7,41334.0,5.0,12.0,36.0,1.0,17.0,5.0,5.0,20.0
3.0,Kyle D. Williams,Kyle D. Williams2012,2012,BUF,DT,813.0,29.3,22.5,-1.0,10.6,-2.8,36678.0,5.0,11.0,29.0,2.0,29.0,6.0,6.0,27.0
4.0,Ndamukong Suh,Ndamukong Suh2012,2012,DET,DT,910.0,23.1,29.6,0.0,-6.0,-0.5,41365.0,9.0,20.0,29.0,1.0,24.0,4.0,1.0,21.0
5.0,Nick Fairley,Nick Fairley2012,2012,DET,DT,511.0,19.2,17.3,1.5,9.4,-9.0,41579.0,5.0,8.0,21.0,1.0,22.0,2.0,3.0,23.0
6.0,Desmond Bryant,Desmond Bryant2012,2012,OAK,DT,645.0,16.5,16.8,0.0,1.1,-1.4,36617.0,4.0,11.0,20.0,0.0,19.0,10.0,2.0,21.0
7.0,Henry Melton,Henry Melton2012,2012,CHI,DT,616.0,15.8,15.8,0.0,-1.5,1.5,36526.0,8.0,5.0,24.0,0.0,32.0,7.0,1.0,29.0
7.0,Jurrell Casey,Jurrell Casey2012,2012,TEN,DT,789.0,15.8,-4.0,0.5,18.1,1.2,41306.0,3.0,3.0,7.0,0.0,44.0,4.0,1.0,33.0
9.0,Mike Martin,Mike Martin2012,2012,TEN,DT,435.0,12.2,12.1,0.0,1.9,-1.8,36617.0,3.0,8.0,15.0,0.0,27.0,5.0,2.0,22.0
10.0,Kevin Williams,Kevin Williams2012,2012,MIN,DT,835.0,12.0,8.1,1.0,2.6,0.3,41334.0,2.0,9.0,21.0,7.0,24.0,5.0,12.0,15.0
11.0,Marcell Dareus,Marcell Dareus2012,2012,BUF,DT,809.0,10.0,15.7,1.0,-8.8,2.1,36526.0,7.0,3.0,22.0,6.0,30.0,7.0,1.0,26.0
12.0,Fred Evans,Fred Evans2012,2012,MIN,DT,342.0,9.9,0.1,1.0,8.4,0.4,36526.0,2.0,2.0,4.0,2.0,16.0,5.0,1.0,15.0
12.0,Vince Wilfork,Vince Wilfork2012,2012,NE,DT,910.0,9.9,2.3,3.5,7.6,-3.5,41456.0,3.0,3.0,21.0,4.0,31.0,9.0,4.0,33.0
14.0,Richard Seymour,Richard Seymour2012,2012,OAK,DT,361.0,9.5,2.1,0.0,8.5,-1.1,36586.0,3.0,2.0,7.0,1.0,12.0,1.0,2.0,12.0
