#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating,
1.0,Patrick Willis,Patrick Willis2012,2012.0,SF,ILB,1007.0,23.0,0.0,9.1,13.3,0.6,36526.0,1.0,2.0,7.0,93.0,17.0,5.0,50.0,66.0,43.0,65.2,355.0,8.3,222.0,50.0,1.0,2.0,5.0,71.2,
2.0,Bobby Wagner,Bobby Wagner2012,2012.0,SEA,ILB,873.0,16.3,3.1,0.9,11.8,0.5,36526.0,2.0,3.0,6.0,111.0,23.0,8.0,58.0,46.0,37.0,80.4,381.0,10.3,173.0,29.0,2.0,3.0,1.0,88.5,
3.0,Daryl Washington,Daryl Washington2012,2012.0,ARZ,ILB,1084.0,12.8,7.5,-2.6,9.8,-1.9,36617.0,9.0,4.0,10.0,108.0,17.0,18.0,61.0,49.0,36.0,73.5,389.0,10.8,231.0,37.0,1.0,1.0,2.0,94.7,
4.0,Derrick O. Johnson,Derrick O. Johnson2012,2012.0,KC,ILB,983.0,12.3,0.9,-0.8,11.1,1.1,36526.0,1.0,2.0,5.0,105.0,16.0,13.0,72.0,39.0,30.0,76.9,333.0,11.1,209.0,34.0,1.0,0.0,1.0,110.3,
5.0,Lawrence Timmons,Lawrence Timmons2012,2012.0,PIT,ILB,1013.0,12.2,4.9,4.2,2.5,0.6,36526.0,6.0,10.0,12.0,79.0,18.0,6.0,54.0,50.0,39.0,78.0,385.0,9.9,244.0,37.0,0.0,3.0,1.0,73.8,
6.0,Sean Lee,Sean Lee2012,2012.0,DAL,ILB,331.0,12.1,-0.6,3.3,8.8,0.6,0-0,0.0,3.0,1.0,45.0,9.0,2.0,25.0,20.0,16.0,80.0,152.0,9.5,125.0,43.0,0.0,1.0,1.0,77.5,
7.0,NaVorro Bowman,NaVorro Bowman2012,2012.0,SF,ILB,1024.0,11.3,-0.6,2.4,10.9,-1.4,41334.0,2.0,2.0,4.0,110.0,28.0,9.0,61.0,64.0,39.0,60.9,310.0,7.9,183.0,22.0,1.0,1.0,5.0,71.7,
8.0,Luke Kuechly,Luke Kuechly2012,2012.0,CAR,ILB,790.0,11.2,-0.5,-1.8,12.3,1.2,36526.0,1.0,1.0,0.0,105.0,32.0,9.0,58.0,55.0,45.0,81.8,447.0,9.9,188.0,25.0,2.0,2.0,2.0,97.5,
9.0,Brandon Spikes,Brandon Spikes2012,2012.0,NE,ILB,742.0,10.7,4.1,0.1,15.1,-8.6,41551.0,0.0,5.0,6.0,72.0,14.0,4.0,34.0,45.0,35.0,77.8,395.0,11.3,183.0,41.0,1.0,0.0,5.0,110.6,
10.0,Brad Jones,Brad Jones2012,2012.0,GB,ILB,687.0,9.0,-0.6,2.5,8.1,-1.0,36557.0,2.0,1.0,6.0,58.0,11.0,8.0,31.0,38.0,26.0,68.4,273.0,10.5,184.0,22.0,2.0,0.0,3.0,106.6,
11.0,Rolando McClain,Rolando McClain2012,2012.0,OAK,ILB,505.0,7.8,-1.7,-1.1,9.8,0.8,0-0,1.0,1.0,3.0,49.0,11.0,3.0,35.0,27.0,20.0,74.1,239.0,12.0,156.0,29.0,2.0,0.0,3.0,125.4,
12.0,Kavell Conner,Kavell Conner2012,2012.0,IND,ILB,326.0,6.9,1.3,-1.1,6.3,0.4,0-0,1.0,1.0,2.0,49.0,6.0,8.0,35.0,18.0,10.0,55.6,160.0,16.0,93.0,36.0,1.0,0.0,3.0,103.9,
13.0,Karlos Dansby,Karlos Dansby2012,2012.0,MIA,ILB,1123.0,6.0,-2.7,0.6,7.5,0.6,36526.0,1.0,2.0,8.0,103.0,20.0,9.0,59.0,73.0,50.0,68.5,590.0,11.8,332.0,31.0,2.0,0.0,6.0,102.0,
14.0,Dannell Ellerbe,Dannell Ellerbe2012,2012.0,BLT,ILB,667.0,4.8,4.5,-5.0,6.2,-0.9,36557.0,5.0,4.0,9.0,66.0,11.0,6.0,40.0,53.0,38.0,71.7,369.0,9.7,220.0,27.0,1.0,0.0,1.0,97.1,
15.0,Bruce Carter,Bruce Carter2012,2012.0,DAL,ILB,625.0,3.5,-0.3,0.7,3.6,-0.5,36557.0,0.0,2.0,2.0,64.0,6.0,3.0,30.0,41.0,32.0,78.0,300.0,9.4,170.0,59.0,2.0,0.0,2.0,113.4,
16.0,Donald Butler,Donald Butler2012,2012.0,SD,ILB,731.0,2.8,-0.3,-1.1,5.1,-0.9,36557.0,4.0,3.0,3.0,53.0,16.0,8.0,35.0,38.0,25.0,65.8,255.0,10.2,155.0,25.0,1.0,1.0,3.0,82.7,
16.0,Bront Bird,Bront Bird2012,2012.0,SD,ILB,112.0,2.8,0.1,2.7,-0.1,0.1,0-0,0.0,0.0,1.0,8.0,1.0,0.0,4.0,10.0,5.0,50.0,32.0,6.4,14.0,10.0,0.0,1.0,0.0,17.5,
18.0,DeMeco Ryans,DeMeco Ryans2012,2012.0,PHI,ILB,1074.0,2.7,-0.3,-0.8,5.2,-1.4,41334.0,1.0,2.0,5.0,99.0,19.0,8.0,57.0,58.0,47.0,81.0,461.0,9.8,348.0,41.0,4.0,1.0,1.0,115.6,
19.0,Brian Cushing,Brian Cushing2012,2012.0,HST,ILB,253.0,1.8,1.0,3.1,-0.7,-1.6,36557.0,0.0,2.0,4.0,25.0,3.0,1.0,16.0,13.0,8.0,61.5,87.0,10.9,79.0,32.0,0.0,1.0,0.0,49.2,
20.0,Dont'a Hightower,Dont'a Hightower2012,2012.0,NE,ILB,37.0,1.7,0.1,0.8,0.7,0.1,0-0,1.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,3.0,75.0,31.0,10.3,18.0,17.0,0.0,0.0,1.0,96.9,
