#,Name,NameYear,Year,Team,Position,Snaps,Overall Rating,Pass Block Rating,Screen Block Rating,Run Block Rating,Penalty Rating,# of Pen,QB Sk,QB Ht,QB Hu,Passing Plays,Pass Block Snaps,Pass Block %,Sacks Allowed,Hits Allowed,Hurries Allowed,Total Pressure Allowed,PBE
1, John Sullivan, John Sullivan2012,2012,MIN,C,1056,27.2,3.5,1.5,20.9,1.3,Feb-00,2,2,8,556,555,99.8,2,2,8,12,98.3
2, Brian De La Puente, Brian De La Puente2012,2012,NO,C,1134,23,5.6,2.5,13.6,1.3,Mar-00,2,4,10,700,700,100,2,4,10,16,98.2
3, Max Unger, Max Unger2012,2012,SEA,C,1013,22.7,1.3,1.5,18.1,1.8,1-Mar,0,3,9,478,478,100,0,3,9,12,98.1
4, Will Montgomery, Will Montgomery2012,2012,WAS,C,1056,21.4,4.1,1,16,0.3,1-Mar,1,2,9,517,517,100,1,2,9,12,98.2
4, Ryan Wendell, Ryan Wendell2012,2012,NE,C,1249,21.4,-6.1,1.5,24.2,1.8,Feb-00,5,2,18,674,674,100,5,2,18,25,97
6, Nick Mangold, Nick Mangold2012,2012,NYJ,C,1088,20.5,2.7,0.5,15.8,1.5,Feb-00,3,2,8,554,554,100,3,2,8,13,98.1
7, Chris Myers, Chris Myers2012,2012,HST,C,1150,19.3,6.8,2.5,9.5,0.5,1-Apr,2,2,8,583,583,100,2,2,8,12,98.4
8, Mike Pouncey, Mike Pouncey2012,2012,MIA,C,1053,17.6,6.7,1.5,10.1,-0.7,May-00,2,2,3,555,555,100,2,2,3,7,99
9, Alex Mack, Alex Mack2012,2012,CLV,C,1064,14.9,5.6,1,14.1,-5.8,1-Sep,3,2,8,618,618,100,3,2,8,13,98.3
10, Jonathan Goodwin, Jonathan Goodwin2012,2012,SF,C,1007,11.7,-0.6,0.5,10.6,1.2,Mar-00,0,4,14,513,511,99.6,0,4,14,18,97.4
11, Fernando Velasco, Fernando Velasco2012,2012,TEN,C,843,11.2,1.9,0,7.8,1.5,Jan-00,0,2,9,528,528,100,0,2,9,11,98.4
12, Maurkice Pouncey, Maurkice Pouncey2012,2012,PIT,C,817,9.5,2.3,2,3.7,1.5,Jan-00,2,1,8,456,455,99.8,2,1,8,11,98.1
13, Dominic Raiola, Dominic Raiola2012,2012,DET,C,1230,9.1,6.2,1,0.2,1.7,Feb-00,3,2,12,789,789,100,3,2,12,17,98.3
14, Ryan Lilja, Ryan Lilja2012,2012,KC,C,781,7.7,-3.2,-0.5,9.5,1.9,Jan-00,1,5,7,375,375,100,1,5,7,13,97.3
15, Stefen Wisniewski, Stefen Wisniewski2012,2012,OAK,C,1034,7.5,9,1,-0.1,-2.4,1-Jun,0,3,5,618,618,100,0,3,5,8,99
16, A.Q. Shipley, A.Q. Shipley2012,2012,IND,C,455,6.9,2.3,0.5,2.7,1.4,0-0,1,2,2,246,246,100,1,2,2,5,98.4
17, Todd McClure, Todd McClure2012,2012,ATL,C,1059,6.7,-1.3,2,5.7,0.3,Apr-00,5,4,11,661,661,100,5,4,11,20,97.5
18, Robert Turner, Robert Turner2012,2012,SL,C,613,6.3,6.4,0.5,0.5,-1.1,1-Mar,0,1,2,343,343,100,0,1,2,3,99.3
19, Ryan Cook, Ryan Cook2012,2012,DAL,C,837,5.7,-0.8,0.5,7.4,-1.4,1-Apr,1,4,12,527,527,100,1,4,12,17,97.5
20, Matt Birk, Matt Birk2012,2012,BLT,C,1047,5.6,-5.3,2,7.6,1.3,Feb-00,3,5,17,573,573,100,3,5,17,25,96.6
21, J.D. Walton, J.D. Walton2012,2012,DEN,C,256,5.1,3.2,0.5,1.6,-0.2,Jan-00,0,0,1,147,147,100,0,0,1,1,99.5
22, Dan Koppen, Dan Koppen2012,2012,DEN,C,908,5,5.2,0,-2,1.8,Jan-00,1,0,6,467,467,100,1,0,6,7,98.8
23, Phil Costa, Phil Costa2012,2012,DAL,C,126,4.6,1.1,0,3.1,0.4,0-0,0,0,1,55,55,100,0,0,1,1,98.6
23, Rodney Hudson, Rodney Hudson2012,2012,KC,C,185,4.6,2.4,0.5,1.2,0.5,0-0,0,0,1,108,108,100,0,0,1,1,99.3
25, Jason Kelce, Jason Kelce2012,2012,PHI,C,138,4.5,1.2,0,3.9,-0.6,Jan-00,0,1,0,79,79,100,0,1,0,1,99.1
26, David Baas, David Baas2012,2012,NYG,C,1018,3.3,-9.1,1,10.2,1.2,Feb-00,1,7,16,563,563,100,1,7,16,24,96.8
27, Evan Dietrich-Smith, Evan Dietrich-Smith2012,2012,GB,C,155,2.9,1.4,0.5,0.6,0.4,0-0,0,1,0,89,89,100,0,1,0,1,99.2
28, Daniel Kilgore, Daniel Kilgore2012,2012,SF,C,45,2.2,0.1,0,2.1,0,0-0,0,0,0,3,3,100,0,0,0,0,100
29, Ted Larsen, Ted Larsen2012,2012,TB,C,621,1.8,4.3,0.5,1.1,-4.1,1-Jun,0,3,3,371,371,100,0,3,3,6,98.8
29, Lemuel Jeanpierre, Lemuel Jeanpierre2012,2012,SEA,C,41,1.8,-0.7,0,2.4,0.1,0-0,0,0,0,9,9,100,0,0,0,0,100
31, David Snow, David Snow2012,2012,BUF,C,129,1.4,0.8,0.5,-0.3,0.4,0-0,0,1,0,89,89,100,0,1,0,1,99.2
32, Joe Hawley, Joe Hawley2012,2012,ATL,C,20,0.9,0.2,0,0.7,0,0-0,0,0,0,8,1,12.5,0,0,0,0,100
33, Rich Ohrnberger, Rich Ohrnberger2012,2012,ARZ,C,106,0.8,-1.2,0,1.6,0.4,0-0,1,0,1,67,67,100,1,0,1,2,97.4
34, Gino Gradkowski, Gino Gradkowski2012,2012,BLT,C,73,0.7,0.9,0,0.6,-0.8,Jan-00,0,0,0,32,28,87.5,0,0,0,0,100
35, Thomas Austin, Thomas Austin2012,2012,CAR,C,77,0.3,0,0,0.1,0.2,0-0,0,0,0,37,37,100,0,0,0,0,100
36, Dylan Gandy, Dylan Gandy2012,2012,DET,C,1,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36, David Molk, David Molk2012,2012,SD,C,2,0,0,0,0,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38, Steve Vallos, Steve Vallos2012,2012,JAX,C,51,-0.1,0,0,-0.3,0.2,0-0,0,0,1,36,36,100,0,0,1,1,97.9
39, Peter Konz, Peter Konz2012,2012,ATL,C,7,-0.3,0.1,0,-0.4,0,0-0,0,0,0,2,1,50,0,0,0,0,100
40, C.J. Davis, C.J. Davis2012,2012,DEN,C,7,-0.4,0,0,-0.4,0,0-0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41, Josh Samuda, Josh Samuda2012,2012,MIA,C,4,-0.5,0,0,-0.5,0,0-0,0,0,0,1,1,100,0,0,0,0,100
42, Jeremy Zuttah, Jeremy Zuttah2012,2012,TB,C,454,-0.6,2.2,1.5,-1.7,-2.6,1-Apr,0,1,5,242,242,100,0,1,5,6,98.1
42, Jim Cordle, Jim Cordle2012,2012,NYG,C,17,-0.6,0.2,0,-0.3,-0.5,1-Jan,1,0,0,6,6,100,1,0,0,1,83.3
42, Kevin Matthews, Kevin Matthews2012,2012,TEN,C,79,-0.6,-1.3,0,0.5,0.2,0-0,0,1,0,43,43,100,0,1,0,1,98.3
42, Scott Wedige, Scott Wedige2012,2012,ARZ,C,17,-0.6,0.4,0,-1,0,0-0,0,0,0,14,14,100,0,0,0,0,100
46, Jeff Byers, Jeff Byers2012,2012,CAR,C,218,-0.7,-1,1,1.7,-2.4,1-Mar,2,1,2,106,106,100,2,1,2,5,96
47, Colin Baxter, Colin Baxter2012,2012,SD,C,6,-0.9,0.1,0,-1,0,0-0,0,0,0,5,5,100,0,0,0,0,100
48, Eric Wood, Eric Wood2012,2012,BUF,C,896,-1,2.9,2.5,-7.2,0.8,Feb-00,3,3,4,483,483,100,3,3,4,10,98.3
49, Russ Hochstein, Russ Hochstein2012,2012,KC,C,62,-1.4,-1,0,0.4,-0.8,Jan-00,0,1,1,35,35,100,0,1,1,2,95.7
50, Ryan Kalil, Ryan Kalil2012,2012,CAR,C,292,-1.7,1.4,1,-4.1,0,Jan-00,0,0,5,160,160,100,0,0,5,5,97.7
51, Trevor Robinson, Trevor Robinson2012,2012,CIN,C,457,-1.8,-3.1,0,1,0.3,Jan-00,1,3,6,232,231,99.6,1,3,6,10,96.6
