#,Name,NameYear,Year,Team,Position,Snaps,Overall,Pass,Run,Blocking,Penalty,# of Pen,Att.,Yds,Avg.,YCo,YCo / Att.,LG,TD,MT,Fu
1,Adrian L. Peterson,Adrian L. Peterson2012,2012,MIN,HB,786,29.8,0.2,30.2,-1.1,0.5,0-0,348,2097,6,1369,3.9,82,12,64,3
2,C.J. Spiller,C.J. Spiller2012,2012,BUF,HB,582,25.4,7.1,19.7,-1.7,0.3,0-0,207,1244,6,742,3.6,62,6,53,2
3,Alfred Morris,Alfred Morris2012,2012,WAS,HB,752,17.1,-2.1,16.7,3.8,-1.3,Jan-96,335,1613,4.8,1001,3,39,13,57,4
4,Pierre Thomas,Pierre Thomas2012,2012,NO,HB,398,16.5,7.1,7.5,1.9,0,0-0,105,473,4.5,292,2.8,48,1,19,0
5,Marshawn Lynch,Marshawn Lynch2012,2012,SEA,HB,697,15.1,-0.3,14.5,1.4,-0.5,Dec-95,315,1590,5,872,2.8,77,11,58,4
6,Ahmad Bradshaw,Ahmad Bradshaw2012,2012,NYG,HB,611,14.2,3.7,4.8,6.2,-0.5,Jan-96,221,1015,4.6,550,2.5,37,6,18,3
7,Ray Rice,Ray Rice2012,2012,BLT,HB,835,13.5,9.2,4.4,0.4,-0.5,Jan-96,257,1143,4.4,606,2.4,46,9,20,1
8,Doug Martin,Doug Martin2012,2012,TB,HB,841,12.6,5,9.7,0,-2.1,Feb-96,319,1454,4.6,1005,3.2,70,11,53,1
9,Frank Gore,Frank Gore2012,2012,SF,HB,753,10.9,-0.7,10.6,1.4,-0.4,Jan-96,258,1214,4.7,682,2.6,37,8,30,2
10,Danny Woodhead,Danny Woodhead2012,2012,NE,HB,424,10.4,6.5,1.4,2.3,0.2,0-0,76,301,4,129,1.7,19,4,3,0
11,LeSean McCoy,LeSean McCoy2012,2012,PHI,HB,712,9.7,6.1,4.9,-0.3,-1,31-Jan,200,840,4.2,504,2.5,34,2,39,4
12,Joique Bell,Joique Bell2012,2012,DET,HB,392,9.3,7.8,2.8,0.7,-2,Jan-96,82,414,5,245,3,67,3,11,1
13,Steven Jackson,Steven Jackson2012,2012,SL,HB,733,9.2,1,6.6,2.1,-0.5,Dec-95,258,1045,4.1,693,2.7,46,4,22,0
14,Jamaal Charles,Jamaal Charles2012,2012,KC,HB,595,8.4,-0.2,7.3,2.2,-0.9,Dec-95,285,1509,5.3,634,2.2,91,5,18,5
15,Darren Sproles,Darren Sproles2012,2012,NO,HB,457,8.2,7,1.7,-0.6,0.1,0-0,48,244,5.1,90,1.9,47,1,8,0
16,Ryan Mathews,Ryan Mathews2012,2012,SD,HB,416,8.1,3.9,3.7,0.5,0,0-0,184,707,3.8,479,2.6,31,1,24,2
17,DeMarco Murray,DeMarco Murray2012,2012,DAL,HB,482,7.3,1.4,5.6,-0.3,0.6,0-0,161,663,4.1,400,2.5,48,4,22,2
18,Mike Goodson,Mike Goodson2012,2012,OAK,HB,145,6.9,5.3,2.8,-0.2,-1,31-Dec,35,221,6.3,171,4.9,43,0,8,0
18,Isaac Redman,Isaac Redman2012,2012,PIT,HB,315,6.9,3.4,0.1,3.3,0.1,0-0,110,410,3.7,332,3,28,2,28,2
20,Jacquizz Rodgers,Jacquizz Rodgers2012,2012,ATL,HB,470,6.4,6.1,-2,3.3,-1,31-Dec,94,362,3.9,256,2.7,43,1,16,0
20,Kendall Hunter,Kendall Hunter2012,2012,SF,HB,172,6.4,0.9,6.2,-0.7,0,0-0,72,371,5.2,203,2.8,26,2,11,0
22,Bernard Pierce,Bernard Pierce2012,2012,BLT,HB,227,6.1,0.4,7.8,-1.1,-1,Dec-95,108,532,4.9,376,3.5,78,1,21,0
23,Trent Richardson,Trent Richardson2012,2012,CLV,HB,725,6,3.8,6.1,-3.1,-0.8,Jan-96,267,950,3.6,558,2.1,32,11,40,3
24,Ben Tate,Ben Tate2012,2012,HST,HB,145,5.9,0.6,5,0.3,0,0-0,65,279,4.3,171,2.6,25,2,8,1
25,Knowshon Moreno,Knowshon Moreno2012,2012,DEN,HB,345,5.5,2.2,2.1,0.8,0.4,0-0,138,525,3.8,296,2.1,20,4,12,1
26,Andre Brown,Andre Brown2012,2012,NYG,HB,225,5.4,-1.8,5.8,1.2,0.2,Dec-95,73,385,5.3,245,3.4,31,8,8,0
26,Justin Forsett,Justin Forsett2012,2012,HST,HB,124,5.4,0.7,4.6,1.1,-1,Dec-95,63,374,5.9,259,4.1,81,1,11,0
28,Stevan Ridley,Stevan Ridley2012,2012,NE,HB,560,5.2,-3.7,8.5,1.4,-1,28-Feb,290,1263,4.4,716,2.5,41,12,29,4
29,Montell Owens,Montell Owens2012,2012,JAX,HB,227,4.7,1.5,2.7,0.4,0.1,0-0,42,209,5,91,2.2,32,1,5,0
30,Jonathan Stewart,Jonathan Stewart2012,2012,CAR,HB,322,4.4,2.2,-0.8,2.8,0.2,0-0,93,336,3.6,235,2.5,21,1,16,1
31,Chris Ivory,Chris Ivory2012,2012,NO,HB,68,3.9,0,3.7,0.2,0,0-0,40,217,5.4,189,4.7,56,2,12,0
32,Willis McGahee,Willis McGahee2012,2012,DEN,HB,399,3.6,-0.3,3.3,1.9,-1.3,Jan-96,167,731,4.4,396,2.4,31,4,13,5
33,Jeremy Stewart,Jeremy Stewart2012,2012,OAK,HB,67,3.1,1.9,0.8,0.4,0,0-0,25,101,4,73,2.9,14,0,1,0
34,Marcel Reece,Marcel Reece2012,2012,OAK,HB,123,3,-0.8,2.4,1.2,0.2,0-0,22,110,5,78,3.5,15,0,9,0
35,Travaris Cadet,Travaris Cadet2012,2012,NO,HB,30,2.8,2,0.8,0,0,0-0,1,5,5,0,0,5,0,1,0
36,Cedric Peerman,Cedric Peerman2012,2012,CIN,HB,98,2.7,1.7,2.6,-0.1,-1.5,31-Jan,34,178,5.2,115,3.4,31,1,5,0
36,Jason Snelling,Jason Snelling2012,2012,ATL,HB,207,2.7,1.6,-0.5,2.6,-1,Dec-95,17,61,3.6,51,3,11,0,4,0
38,Robert Turbin,Robert Turbin2012,2012,SEA,HB,235,2.5,0,1.7,0.8,0,0-0,80,354,4.4,179,2.2,26,0,10,0
38,Shane Vereen,Shane Vereen2012,2012,NE,HB,162,2.5,1.7,0.8,0,0,0-0,62,251,4,133,2.1,16,3,4,0
40,Dion Lewis,Dion Lewis2012,2012,PHI,HB,60,2.4,-0.2,1.8,0.8,0,0-0,13,69,5.3,38,2.9,17,1,3,0
41,Brandon Jackson,Brandon Jackson2012,2012,CLV,HB,33,2.3,0.6,2.5,-0.8,0,0-0,8,54,6.8,33,4.1,25,0,4,0
