#,Name,NameYear,Year,Team,Snaps,Overall,Pass,Pass Block,Run Block,Penalty,# of Pen,TA,Rec.,% Ct,Yds,Yds / Rec.,YAC,YAC / Rec.,LG,TD,In,DP,MT,Fu
1,Rob Gronkowski,Rob Gronkowski2012,2012,NE,743,21.2,11.4,1.7,8.6,-0.5,Apr-00,77,55,71.4,790,14.4,311,5.7,41,11,0,7,6,1
2,Dwayne Allen,Dwayne Allen2012,2012,IND,925,19.1,4.9,3.6,10.1,0.5,Apr-00,64,45,70.3,521,11.6,248,5.5,40,3,0,3,3,1
3,Jason Witten,Jason Witten2012,2012,DAL,1112,19,12.7,0.4,6.5,-0.6,Jun-00,146,110,75.3,1039,9.4,324,2.9,36,3,3,8,8,0
4,Marcedes Lewis,Marcedes Lewis2012,2012,JAX,849,13.9,3.3,1,8.4,1.2,Mar-00,75,52,69.3,540,10.4,259,5,26,4,2,6,9,0
5,Martellus Bennett,Martellus Bennett2012,2012,NYG,945,12.5,4.1,2.7,3.1,2.6,Feb-00,88,55,62.5,626,11.4,211,3.8,33,5,4,6,5,0
6,Zach J. Miller,Zach J. Miller2012,2012,SEA,882,12.1,2.2,-0.8,6.6,4.1,0-0,46,38,82.6,396,10.4,134,3.5,30,3,0,1,2,1
7,Matt Spaeth,Matt Spaeth2012,2012,CHI,430,10.6,-2.3,1.7,10.9,0.3,Feb-00,9,6,66.7,28,4.7,17,2.8,13,1,0,1,0,0
8,Jacob Tamme,Jacob Tamme2012,2012,DEN,547,10.5,8.7,2.7,-2.4,1.5,Jan-00,80,52,65,555,10.7,220,4.2,36,2,2,1,1,0
9,Vernon Davis,Vernon Davis2012,2012,SF,942,10.4,4.3,-1,2.5,4.6,0-0,56,41,73.2,548,13.4,164,4,53,5,0,3,6,0
10,Jimmy Graham,Jimmy Graham2012,2012,NO,712,10.2,8.3,1.1,1.2,-0.4,Apr-00,131,85,64.9,982,11.6,310,3.6,46,9,5,15,7,1
11,Greg Olsen,Greg Olsen2012,2012,CAR,1028,9.5,9.1,-1,-0.5,1.9,Mar-00,96,69,71.9,843,12.2,246,3.6,47,5,2,4,5,1
12,Daniel Fells,Daniel Fells2012,2012,NE,308,8.2,-0.3,2.1,7.5,-1.1,Mar-00,9,4,44.4,85,21.3,31,7.8,35,0,0,1,1,0
13,Matthew Mulligan,Matthew Mulligan2012,2012,SL,411,7.6,0.6,1.7,5.4,-0.1,Feb-00,12,8,66.7,84,10.5,39,4.9,18,1,0,0,0,0
14,Joel Dreessen,Joel Dreessen2012,2012,DEN,877,6.9,-0.7,6.4,-0.8,2,Mar-00,57,41,71.9,356,8.7,153,3.7,30,5,0,3,3,0
15,Kyle Rudolph,Kyle Rudolph2012,2012,MIN,971,6.8,3.3,1.9,0,1.6,Mar-00,86,53,61.6,493,9.3,288,5.4,29,9,3,6,5,0
16,Heath Miller,Heath Miller2012,2012,PIT,1014,6.8,15.2,-0.8,-8.6,1,May-00,93,71,76.3,816,11.5,365,5.1,43,8,3,4,3,0
17,Tony Gonzalez,Tony Gonzalez2012,2012,ATL,978,6.1,20.3,1.8,-17.1,1.1,1-May,121,93,76.9,930,10,250,2.7,25,8,2,4,16,0
18,Delanie Walker,Delanie Walker2012,2012,SF,589,6,-5.7,2.1,10.7,-1.1,Apr-00,37,21,56.8,344,16.4,60,2.9,45,3,1,9,2,1
19,Nate Byham,Nate Byham2012,2012,TB,143,5.6,1,1.4,2.7,0.5,0-0,4,3,75,18,6,8,2.7,10,1,0,0,0,0
20,Michael Hoomanawanui,Michael Hoomanawanui2012,2012,NE,293,5.6,0.8,2.6,0.9,1.3,0-0,5,5,100,109,21.8,48,9.6,41,0,0,0,2,0
21,Ben Hartsock,Ben Hartsock2012,2012,CAR,209,5.3,-0.4,0.6,6.7,-1.6,Mar-00,3,2,66.7,30,15,26,13,25,0,0,0,0,0
22,Taylor Thompson,Taylor Thompson2012,2012,TEN,265,5.2,-4.1,0.7,7.3,1.3,0-0,12,6,50,46,7.7,12,2,12,0,1,2,0,0
23,Scott Chandler,Scott Chandler2012,2012,BUF,767,4.8,2.9,1.3,-2.2,2.8,Jan-00,70,43,61.4,571,13.3,196,4.6,43,6,2,5,0,2
24,D.J. Williams Jr.,D.J. Williams Jr.2012,2012,GB,244,4.4,-2.3,1.5,3.9,1.3,0-0,14,7,50,57,8.1,40,5.7,12,0,0,3,0,0
25,Luke Stocker,Luke Stocker2012,2012,TB,550,4.2,0,-0.5,4.2,0.5,Feb-00,21,16,76.2,165,10.3,99,6.2,33,1,0,2,2,0
26,Steve Maneri,Steve Maneri2012,2012,KC,412,4.2,-0.1,1.9,3.4,-1,Mar-00,10,5,50,51,10.2,32,6.4,19,0,1,0,1,0
27,Anthony Fasano,Anthony Fasano2012,2012,MIA,921,4.2,2,1.9,-0.6,0.9,Apr-00,62,41,66.1,332,8.1,92,2.2,22,5,2,0,2,0
28,Richard Brockel,Richard Brockel2012,2012,CAR,62,3.9,0,0.6,3.1,0.2,0-0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Dennis Pitta,Dennis Pitta2012,2012,BLT,661,3.7,7.2,-1.3,-3.4,1.2,Feb-00,90,61,67.8,669,11,281,4.6,61,7,3,3,7,0
30,Garrett Graham,Garrett Graham2012,2012,HST,626,3.4,1.1,-0.1,2.2,0.2,Mar-00,35,28,80,263,9.4,128,4.6,30,3,0,2,1,0
31,Virgil Green,Virgil Green2012,2012,DEN,179,2.6,1.2,-1.3,1.8,0.9,0-0,6,5,83.3,63,12.6,59,11.8,28,0,0,0,2,0
32,Weslye Saunders,Weslye Saunders2012,2012,IND,172,2.5,-0.3,-0.3,2.3,0.8,0-0,4,2,50,15,7.5,3,1.5,11,0,0,0,0,0
33,Will Heller,Will Heller2012,2012,DET,421,2.2,-2,2.4,0,1.8,0-0,22,17,77.3,150,8.8,89,5.2,19,1,0,1,0,0
34,Alex Smith,Alex Smith2012,2012,CLV,98,2,-1,-1,3.6,0.4,0-0,7,5,71.4,31,6.2,29,5.8,17,0,0,2,1,0
35,Fred Davis,Fred Davis2012,2012,WAS,413,2,4.1,-0.2,0,-1.9,May-00,32,24,75,325,13.5,140,5.8,29,0,2,2,6,0
36,Kevin Boss,Kevin Boss2012,2012,KC,51,1.8,2.4,-0.4,-0.5,0.3,0-0,3,3,100,65,21.7,7,2.3,29,1,0,0,0,0
37,Coby Fleener,Coby Fleener2012,2012,IND,461,1.7,-2.4,0,2.7,1.4,Jan-00,45,26,57.8,281,10.8,110,4.2,26,2,0,3,2,0
38,Ben Watson,Ben Watson2012,2012,CLV,883,1.7,4,0.5,-2,-0.8,May-00,74,49,66.2,501,10.2,222,4.5,27,3,3,3,7,1
39,Dallas Clark,Dallas Clark2012,2012,TB,586,1.6,3.1,-0.1,-4.3,2.9,0-0,69,47,68.1,435,9.3,112,2.4,33,4,5,3,3,0
40,David Ausberry,David Ausberry2012,2012,OAK,99,1.5,1.4,0.7,0.5,-1.1,Jan-00,11,7,63.6,92,13.1,54,7.7,31,0,0,0,3,0
41,Jim Dray,Jim Dray2012,2012,ARZ,35,1.5,0.3,0.1,1,0.1,0-0,2,2,100,15,7.5,2,1,12,0,0,0,0,0
42,Tommy Gallarda,Tommy Gallarda2012,2012,ATL,85,1.5,-0.7,0.7,2.1,-0.6,Jan-00,3,1,33.3,7,7,1,1,7,0,0,0,0,0
43,Isaiah Stanback,Isaiah Stanback2012,2012,JAX,10,1.4,-0.2,0.1,1.5,0,0-0,1,1,100,6,6,1,1,6,0,0,0,0,0
44,Gary Barnidge,Gary Barnidge2012,2012,CAR,140,1.4,-0.2,0.1,1,0.5,0-0,6,6,100,78,13,46,7.7,24,1,0,0,0,0
45,Jeff Cumberland,Jeff Cumberland2012,2012,NYJ,608,1.2,1,1.8,-4.4,2.8,0-0,52,29,55.8,359,12.4,119,4.1,39,3,5,1,2,0
46,Mike Higgins,Mike Higgins2012,2012,NO,22,1.1,-0.1,0.1,1,0.1,0-0,1,1,100,-3,-3,0,0,0,0,0,0,0,0
47,Tony Scheffler,Tony Scheffler2012,2012,DET,535,0.8,-0.1,-0.3,-0.5,1.7,Jan-00,83,42,50.6,504,12,117,2.8,57,1,6,6,3,0
48,Cory Harkey,Cory Harkey2012,2012,SL,28,0.8,0.2,0,0.5,0.1,0-0,2,1,50,21,21,7,7,21,0,0,0,0,0
49,Ryan Taylor,Ryan Taylor2012,2012,GB,131,0.8,0.1,0.6,-0.4,0.5,0-0,1,1,100,11,11,6,6,11,0,0,0,0,0
50,Charles Clay,Charles Clay2012,2012,MIA,302,0.6,-0.6,1.6,-2,1.6,0-0,27,18,66.7,212,11.8,91,5.1,31,2,1,5,1,0
51,Chase Coffman,Chase Coffman2012,2012,ATL,5,0.5,0.5,0,0,0,0-0,1,1,100,11,11,0,0,11,0,0,0,0,0
52,Allen Reisner,Allen Reisner2012,2012,MIN,7,0.5,0.4,0.1,0,0,0-0,1,1,100,13,13,2,2,13,0,0,0,0,0
