Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
1, Andre Johnson, Andre Johnson2012,HST,2012,996,31.3,29,0,1.4,0.9,531,159,112,70.4,1598,3.01,14.3,559,5,60,4,5,9,11,0,97.9,25,8,5,335,13,1,15.7,38.46,32,111,20.9,26,23.4,21,1,298,2.68,0,4.55,80.8
2, Demaryius Thomas, Demaryius Thomas2012,DEN,2012,1046,27.2,19.3,0,4.8,3.1,571,138,94,68.1,1436,2.5,15.3,561,6,71,10,0,11,13,3,126.2,30,16,1,498,17,5,21.7,5.88,53.3,44,7.7,12,27.3,6,0,65,1.48,1,0,50
3, Reggie Wayne, Reggie Wayne2012,IND,2012,1099,26.5,17.6,-0.2,5.9,3.2,689,179,106,59.2,1355,1.97,12.8,379,3.6,33,5,10,10,5,1,69,32,15,1,390,16,1,17.9,6.25,46.9,422,61.2,90,21.3,48,6,679,1.61,2,11.11,53.3
4, Calvin Johnson, Calvin Johnson2012,DET,2012,1181,26.3,26.1,0,1.4,-1.2,771,199,122,61.3,1964,2.55,16.1,514,4.2,53,5,5,14,12,3,92.2,46,21,2,652,23,3,23.1,8.7,45.7,223,28.9,67,30,41,7,702,3.15,1,14.58,61.2
5, Vincent Jackson, Vincent Jackson2012,TB,2012,1004,24.4,22.6,0.5,1,0.3,591,137,72,52.6,1384,2.34,19.2,365,5.1,95,8,5,5,6,0,92.2,44,17,2,633,19,3,32.1,10.53,38.6,216,36.5,38,17.6,23,1,445,2.06,4,4.17,60.5
6, Roddy White, Roddy White2012,ATL,2012,999,22.6,21.3,0,2.5,-1.2,648,138,92,66.7,1351,2.08,14.7,335,3.6,59,7,5,4,6,1,100.2,22,10,0,350,10,3,15.9,0,45.5,129,19.9,26,20.2,17,1,182,1.41,1,5.56,65.4
7, Michael Crabtree, Michael Crabtree2012,SF,2012,692,22.5,21.1,0.3,0.4,0.7,431,118,85,72,1105,2.56,13,543,6.4,49,9,2,7,13,0,119.5,8,5,0,170,5,3,6.8,0,62.5,145,33.6,49,33.8,38,4,542,3.74,5,9.52,77.6
8, A.J. Green, A.J. Green2012,CIN,2012,982,21.7,19.2,0.1,2.5,-0.1,583,158,97,61.4,1350,2.32,13.9,448,4.6,73,11,6,10,14,2,96.2,41,12,1,474,13,4,25.9,7.69,29.3,80,13.7,20,25,13,1,236,2.95,1,7.14,65
9, Brandon Marshall, Brandon Marshall2012,CHI,2012,995,21.3,18.3,-0.2,2.4,0.8,547,181,118,65.2,1510,2.76,12.8,369,3.1,56,11,7,13,17,2,95.3,33,11,4,361,15,3,18.2,26.67,33.3,120,21.9,33,27.5,22,2,318,2.65,2,8.33,66.7
10, Percy Harvin, Percy Harvin2012,MIN,2012,427,16.6,17.7,-1.5,-0.6,1,263,81,62,76.5,677,2.57,10.9,542,8.7,45,3,2,1,22,0,102.8,5,1,0,23,1,0,6.2,0,20,157,59.7,35,22.3,26,0,246,1.57,3,0,74.3
11, Randall Cobb, Randall Cobb2012,GB,2012,651,14.3,9.9,2.5,0.1,1.8,423,102,80,78.4,954,2.26,11.9,467,5.8,39,8,3,11,15,0,119.5,16,10,2,276,12,4,15.7,16.67,62.5,357,84.4,81,22.7,63,9,835,2.34,6,12.5,77.8
12, Wes Welker, Wes Welker2012,NE,2012,1089,14.1,9.8,0.6,0.7,3,619,166,118,71.1,1354,2.19,11.5,673,5.7,59,6,2,15,7,2,102.3,19,7,1,244,8,1,11.4,12.5,36.8,509,82.2,125,24.6,88,13,1040,2.04,3,12.87,70.4
13, Sidney Rice, Sidney Rice2012,SEA,2012,797,13.4,10.4,0.1,2,0.9,421,75,50,66.7,748,1.78,15,160,3.2,46,7,1,3,0,0,124.7,16,9,1,255,10,3,21.3,10,56.3,157,37.3,32,20.4,25,1,369,2.35,4,3.85,78.1
14, Julio Jones, Julio Jones2012,ATL,2012,846,13.1,14.9,0.5,-1.6,-0.7,579,127,79,62.2,1198,2.07,15.2,491,6.2,80,10,3,7,12,0,109.6,28,11,1,412,12,5,22,8.33,39.3,53,9.2,14,26.4,8,1,66,1.25,0,11.11,57.1
15, Danny Amendola, Danny Amendola2012,SL,2012,524,13,10.6,0.1,2.1,0.2,326,95,63,66.3,672,2.06,10.7,258,4.1,56,3,2,2,5,2,88.5,11,4,1,138,5,0,11.7,20,36.4,262,80.4,75,28.6,51,1,504,1.92,3,1.92,68
16, Brandon Lloyd, Brandon Lloyd2012,NE,2012,1051,12.9,7,0,3.9,2,596,129,74,57.4,911,1.53,12.3,179,2.4,53,4,1,7,3,0,86.4,32,9,3,257,12,3,24.8,25,28.1,55,9.2,4,7.3,2,0,22,0.4,0,0,50
17, Lance Moore, Lance Moore2012,NO,2012,623,12.9,11.9,0,0.3,0.7,482,100,65,65,1041,2.16,16,147,2.3,51,6,2,7,0,0,111.3,20,12,0,403,12,3,20,0,60,168,34.9,34,20.2,25,2,414,2.46,1,7.41,73.5
18, Mike A. Williams, Mike A. Williams2012,TB,2012,923,12.2,10.6,0,-1,2.6,574,120,63,52.5,996,1.74,15.8,343,5.4,65,9,3,7,7,0,95,35,12,0,450,12,2,29.2,0,34.3,44,7.7,5,11.4,1,2,10,0.23,0,66.67,20
19, Steve L. Smith, Steve L. Smith2012,CAR,2012,928,11.6,12.7,-1.1,2.5,-2.5,527,127,73,57.5,1174,2.23,16.1,282,3.9,66,4,3,8,10,0,89.2,24,12,2,406,14,3,18.9,14.29,50,50,9.5,11,22,7,1,181,3.62,1,12.5,63.6
20, Jason Avant, Jason Avant2012,PHI,2012,670,11.2,7.8,0,2.6,0.8,442,71,53,74.6,648,1.43,12.2,173,3.3,39,0,2,0,3,1,89.8,6,4,0,110,4,0,8.5,0,66.7,392,88.7,67,17.1,51,0,598,1.53,0,0,76.1
21, Hakeem Nicks, Hakeem Nicks2012,NYG,2012,683,11.1,9.3,0,0.9,0.9,398,96,53,55.2,692,1.74,13.1,209,3.9,50,3,3,2,2,0,75.5,18,5,0,166,5,1,18.8,0,27.8,9,2.3,2,22.2,2,0,36,4,1,0,100
22, Malcom Floyd, Malcom Floyd2012,SD,2012,877,10.8,10.3,0,0.1,0.4,526,82,56,68.3,814,1.55,14.5,116,2.1,39,5,4,2,1,0,100.4,19,11,0,310,11,0,23.2,0,57.9,112,21.3,10,8.9,7,0,79,0.71,0,0,70
23, Brandon Stokley, Brandon Stokley2012,DEN,2012,614,10.2,9.1,0,0.4,0.7,381,57,45,78.9,544,1.43,12.1,160,3.6,38,5,2,2,2,0,121.1,8,4,1,119,5,3,14,20,50,358,94,56,15.6,45,2,544,1.52,5,4.26,80.4
24, Golden Tate, Golden Tate2012,SEA,2012,742,9.9,10.5,0.3,-0.1,-0.8,377,65,45,69.2,698,1.81,15.5,286,6.4,51,7,1,2,16,1,133,22,9,0,343,9,3,33.8,0,40.9,52,13.8,11,21.2,7,1,62,1.19,1,12.5,63.6
25, Steve Johnson, Steve Johnson2012,BUF,2012,965,9.8,9.7,0,-0.1,0.2,551,144,79,54.9,1046,1.9,13.2,356,4.5,63,6,7,11,10,1,71.7,17,5,0,179,5,1,11.8,0,29.4,137,24.9,39,28.5,27,0,359,2.62,4,0,69.2
