Year,Rank,School,Conf
1985,1,Georgetown,Big East
1985,2,Michigan,Big Ten
1985,3,St. John's,Big East
1985,4,Oklahoma,Big Eight
1985,5,Memphis,Metro
1985,6,Georgia Tech,Atlantic Coast
1985,7,North Carolina,Atlantic Coast
1985,8,Louisiana Tech,Southland
1985,9,UNLV,PCAA
1985,10,Duke,Atlantic Coast
1985,11,VCU,Sun Belt
1985,12,Illinois,Big Ten
1985,13,Kansas,Big Eight
1985,14,Loyola Chicago,Midwestern City
1985,15,Syracuse,Big East
1985,16,NC State,Atlantic Coast
1985,17,Texas Tech,Southwest
1985,18,Tulsa,Missouri Valley
1985,19,Georgia,Southeastern
1985,20,LSU,Southeastern
1986,1,Duke,ACC
1986,2,Kansas,Big Eight
1986,3,Kentucky,SEC
1986,4,St. John's,Big East
1986,5,Michigan,Big Ten
1986,6,Georgia Tech,ACC
1986,7,Louisville,Metro
1986,8,North Carolina,ACC
1986,9,Syracuse,Big East
1986,10,Notre Dame,Independent
1986,11,UNLV,PCCA
1986,12,Memphis,Metro
1986,13,Georgetown,Big East
1986,14,Bradley,Missouri Valley
1986,15,Oklahoma,Big Eight
1986,16,Indiana,Big Ten
1986,17,Navy,Colonial
1986,18,Michigan State,Big Ten
1986,19,Illinois,Big Ten
1986,20,UTEP,Western Athletic
1987,1,UNLV,PCAA
1987,2,North Carolina,Atlantic Coast
1987,3,Indiana,Big Ten
1987,4,Georgetown,Big East
1987,5,DePaul,Independent
1987,6,Iowa,Big Ten
1987,7,Purdue,Big Ten
1987,8,Temple,Atlantic 10
1987,9,Alabama,Southeastern
1987,10,Syracuse,Big East
1987,11,Illinois,Big Ten
1987,12,Pittsburgh,Big East
1987,13,Clemson,Atlantic Coast
1987,14,Missouri,Big Eight
1987,15,UCLA,Pacific-10
1987,16,New Orleans,Independent
1987,17,Duke,Atlantic Coast
1987,18,Notre Dame,Independent
1987,19,TCU,Southwest
1987,20,Kansas,Big Eight
1988,1,Temple,A-10
1988,2,Arizona,Pacific-10
1988,3,Purdue,Big Ten
1988,4,Oklahoma,Big Eight
1988,5,Duke,ACC
1988,6,Kentucky,SEC
1988,7,North Carolina,ACC
1988,8,Pittsburgh,Big East
1988,9,Syracuse,Big East
1988,10,Michigan,Big Ten
1988,11,Bradley,MVC
1988,12,UNLV,PCAA
1988,13,Wyoming,WAC
1988,14,NC State,ACC
1988,15,Loyola Marymount,WCC
1988,16,Illinois,Big Ten
1988,17,Iowa,Big Ten
1988,18,Xavier,Midwestern Collegiate
1988,19,BYU,WAC
1988,20,Kansas State,Big Eght
1989,1,Arizona,Pac-10
1989,2,Georgetown,Big East
1989,3,Illinois,Big Ten
1989,4,Oklahoma,Big Eight
1989,5,North Carolina,ACC
1989,6,Missouri,Big Eight
